ID,Clip Seconds,Year Estimate,Short Description,Keywords,TODO,Media Commons URL,Archives Reel,Sponsor
1.01.01,0:00-1:43,1949,Band Day,band day; card section,not listed on the description!,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1686~1464477:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=15&trs=19",570904-1-01,Center for Digital Research in the Humanities
1.01.02,1:43-1:55,1949,"Missouri Band ""M""",other band; card section,,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1686~1464477:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=15&trs=19",570904-1-01,Center for Digital Research in the Humanities
1.01.03,1:55-5:00,1949,"Halftime show: ""Evolution of the Dance""",halftime; drill; card section,,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1686~1464477:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=15&trs=19",570904-1-01,Center for Digital Research in the Humanities
1.01.04,5:00-5:32,1949,Halftime show,halftime; drill,not sure if this is 1950 or 49,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1686~1464477:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=15&trs=19",570904-1-01,Center for Digital Research in the Humanities
1.01.05,5:32-7:18,1949,"Halftime show: ""Faculty Salute""",halftime; drill,,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1686~1464477:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=15&trs=19",570904-1-01,Center for Digital Research in the Humanities
1.01.06,7:18-9:12,1949,"Halftime show: ""Transportation"" and ""Hi Dad""",halftime; drill; card section,golden gophers belong at beginning or different day?,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1686~1464477:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=15&trs=19",570904-1-01,Center for Digital Research in the Humanities
1.02.01,0:00-10:13,"1943, 1947, 1952","Halftime show: I, anchor, precision drills, marching with balloons, more drills",halftime; drill; card section; closeup; props,possibly break this into more sections?  will require renumbering second half,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1685~1464479:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=9&trs=19",570904-1-02,Center for Digital Research in the Humanities
1.02.02,10:13-15:23,1954,Orange Bowl show,bowl; card section; drill,,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1685~1464479:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=9&trs=20",570904-1-02,Center for Digital Research in the Humanities
1.03.01,0:00-1:37,1954,"Band Day ""100""",band day,,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1687~1464481:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=16&trs=19",570904-1-03,Center for Digital Research in the Humanities
1.03.02,1:37-4:39,1954,"Halftime show: ""Halloween,"" ""welcome parents""",halftime; drill; card section; props,could women from concert band possibly be the ghosts and pumpkin figures? find notes on women providing visuals for marching band from OLLI class,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1687~1464481:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=16&trs=19",570904-1-03,Center for Digital Research in the Humanities
1.03.03,4:39-7:52,1954,"Halftime show: U of Colorado, bison, precision drills",halftime; drill,,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1687~1464481:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=16&trs=19",570904-1-03,Center for Digital Research in the Humanities
1.03.04,7:52-14:02,1954,"Halftime show: U of Pittsburgh, homecoming, 12 months of the year",halftime; drill; card section,"I don't know what ""bridal"" means nor what the shape looks like!","https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1687~1464481:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=16&trs=19",570904-1-03,Center for Digital Research in the Humanities
2.01.01,0:00-0:27,Unknown,"Unknown man stands in front of band members, view of stands",closeup,old field?,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1676~1464449:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=13&trs=19",570904-2-01,Gary Steffens
2.01.02,0:27-2:20,Unknown,Football,football,should we include?,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1676~1464449:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=13&trs=19",570904-2-01,Gary Steffens
